intent,question,answer
apa_itu_bapenda,Apa itu Bapenda Kota Medan?,Bapenda Kota Medan adalah Badan Pendapatan Daerah yang bertugas mengelola pendapatan daerah dari sektor pajak dan retribusi daerah.
apa_itu_bapenda,Bapenda Medan itu apa?,Bapenda Kota Medan adalah Badan Pendapatan Daerah yang bertugas mengelola pendapatan daerah dari sektor pajak dan retribusi daerah.
apa_itu_bapenda,Apakah fungsi Bapenda Kota Medan?,Bapenda Kota Medan bertugas mengelola pendapatan daerah dari sektor pajak dan retribusi daerah.
apa_itu_bapenda,Tugas utama Bapenda Medan apa?,Tugas utama Bapenda Kota Medan adalah pengelolaan pajak dan retribusi daerah.
apa_itu_bapenda,Bapenda Medan mengurus apa saja?,Bapenda Kota Medan mengurus pengelolaan pajak dan retribusi daerah.
tugas_fungsi,Apa tugas Bapenda Kota Medan?,Bapenda Kota Medan bertugas melakukan pemungutan dan pengelolaan pajak daerah sesuai peraturan yang berlaku.
tugas_fungsi,Fungsi Bapenda Medan apa saja?,Fungsi Bapenda Kota Medan meliputi perencanaan, pemungutan, dan pengawasan pajak daerah.
tugas_fungsi,Peran Bapenda dalam pajak daerah?,Bapenda Kota Medan berperan dalam pengelolaan dan optimalisasi penerimaan pajak daerah.
tugas_fungsi,Apa kewenangan Bapenda Medan?,Kewenangan Bapenda Kota Medan meliputi pengelolaan pajak dan retribusi daerah sesuai ketentuan.
tugas_fungsi,Bapenda bertanggung jawab atas apa?,Bapenda Kota Medan bertanggung jawab atas pengelolaan pendapatan daerah dari pajak.
jam_layanan,Jam pelayanan Bapenda Medan?,Jam pelayanan Bapenda Kota Medan mengikuti jam kerja pemerintah daerah.
jam_layanan,Bapenda Medan buka jam berapa?,Jam operasional Bapenda Kota Medan mengikuti ketentuan jam kerja pemerintah daerah.
jam_layanan,Kapan jam kerja Bapenda Medan?,Jam kerja Bapenda Kota Medan sesuai ketentuan pemerintah daerah.
jam_layanan,Bapenda Medan buka hari apa saja?,Pelayanan Bapenda Kota Medan dilakukan pada hari kerja.
jam_layanan,Apakah Bapenda buka saat weekend?,Pelayanan Bapenda Kota Medan hanya dilakukan pada hari kerja.
alamat_kantor,Alamat kantor Bapenda Kota Medan?,Alamat kantor Bapenda Kota Medan dapat dilihat melalui informasi resmi Pemerintah Kota Medan.
alamat_kantor,Dimana lokasi Bapenda Medan?,Lokasi kantor Bapenda Kota Medan tercantum pada informasi resmi Pemerintah Kota Medan.
alamat_kantor,Kantor Bapenda Medan dimana?,Kantor Bapenda Kota Medan beralamat sesuai informasi resmi pemerintah daerah.
alamat_kantor,Alamat lengkap Bapenda Medan?,Alamat lengkap Bapenda Kota Medan tersedia pada kanal resmi Pemerintah Kota Medan.
alamat_kantor,Cara menuju kantor Bapenda Medan?,Informasi lokasi dan akses ke kantor Bapenda Kota Medan tersedia di situs resmi Pemerintah Kota Medan.
kontak_resmi,Nomor kontak Bapenda Medan?,Kontak resmi Bapenda Kota Medan dapat diperoleh melalui situs atau kanal resmi Pemerintah Kota Medan.
kontak_resmi,Telepon Bapenda Medan?,Nomor telepon Bapenda Kota Medan tersedia pada informasi resmi pemerintah daerah.
kontak_resmi,Email resmi Bapenda Medan?,Alamat email resmi Bapenda Kota Medan tercantum pada kanal resmi Pemerintah Kota Medan.
kontak_resmi,Bagaimana menghubungi Bapenda Medan?,Bapenda Kota Medan dapat dihubungi melalui kontak resmi yang tersedia di kanal pemerintah daerah.
kontak_resmi,Kontak pengaduan Bapenda Medan?,Informasi pengaduan Bapenda Kota Medan tersedia melalui kanal resmi pemerintah daerah.
jenis_pajak,Apa saja jenis pajak daerah?,Jenis pajak daerah meliputi pajak restoran, hotel, hiburan, parkir, PBB, dan jenis pajak lainnya sesuai peraturan.
jenis_pajak,Jenis pajak apa yang dikelola Bapenda?,Bapenda Kota Medan mengelola berbagai jenis pajak daerah sesuai ketentuan peraturan.
jenis_pajak,Pajak daerah apa saja di Medan?,Pajak daerah di Kota Medan meliputi beberapa jenis sesuai peraturan daerah.
jenis_pajak,Daftar pajak daerah Kota Medan?,Daftar pajak daerah Kota Medan ditetapkan dalam peraturan daerah.
jenis_pajak,Pajak apa saja yang harus dibayar?,Jenis pajak yang harus dibayar tergantung pada objek pajak sesuai ketentuan.
wajib_pajak,Siapa yang disebut wajib pajak?,Wajib pajak adalah orang pribadi atau badan yang memiliki kewajiban membayar pajak sesuai ketentuan.
wajib_pajak,Siapa wajib pajak daerah?,Wajib pajak daerah adalah pihak yang dikenakan kewajiban pajak berdasarkan peraturan daerah.
wajib_pajak,Apakah usaha kecil termasuk wajib pajak?,Usaha yang memenuhi kriteria objek pajak tetap memiliki kewajiban pajak sesuai ketentuan.
wajib_pajak,Kapan seseorang menjadi wajib pajak?,Seseorang menjadi wajib pajak saat memenuhi syarat objek dan subjek pajak.
wajib_pajak,Siapa saja yang wajib bayar pajak?,Setiap pihak yang memenuhi ketentuan objek pajak wajib membayar pajak.
jatuh_tempo_umum,Kapan jatuh tempo pembayaran pajak daerah?,Jatuh tempo pembayaran pajak daerah ditentukan sesuai jenis pajak dan masa pajak berdasarkan ketentuan yang berlaku.
jatuh_tempo_umum,Batas waktu bayar pajak daerah?,Batas waktu pembayaran pajak daerah mengikuti ketentuan sesuai jenis pajak.
jatuh_tempo_umum,Pajak daerah dibayar paling lambat kapan?,Pembayaran pajak daerah dilakukan sesuai jatuh tempo yang ditetapkan.
jatuh_tempo_umum,Kapan terakhir bayar pajak daerah?,Waktu terakhir pembayaran pajak daerah mengikuti ketentuan yang berlaku.
jatuh_tempo_umum,Deadline bayar pajak daerah?,Deadline pembayaran pajak daerah sesuai ketentuan masing-masing jenis pajak.
jatuh_tempo_restoran,Kapan jatuh tempo pajak restoran?,Jatuh tempo pembayaran pajak restoran ditetapkan sesuai masa pajak dan ketentuan yang berlaku.
jatuh_tempo_restoran,Batas waktu bayar pajak restoran?,Pembayaran pajak restoran dilakukan sesuai jatuh tempo yang ditentukan.
jatuh_tempo_restoran,Pajak restoran dibayar paling lambat kapan?,Pajak restoran dibayar sesuai jadwal jatuh tempo yang berlaku.
jatuh_tempo_restoran,Kapan terakhir bayar pajak restoran?,Batas akhir pembayaran pajak restoran mengikuti ketentuan yang berlaku.
jatuh_tempo_restoran,Deadline pajak restoran?,Deadline pembayaran pajak restoran sesuai peraturan yang berlaku.
pbb_cek_tagihan,Bagaimana cara cek tagihan PBB?,Pengecekan tagihan PBB dapat dilakukan melalui kanal resmi yang disediakan Pemerintah Kota Medan.
pbb_cek_tagihan,Dimana cek tagihan PBB?,Tagihan PBB dapat dicek melalui layanan resmi Pemerintah Kota Medan.
pbb_cek_tagihan,Cara mengetahui tagihan PBB?,Informasi tagihan PBB tersedia melalui kanal resmi Pemerintah Kota Medan.
pbb_cek_tagihan,Apakah bisa cek PBB online?,Pengecekan PBB dapat dilakukan secara online melalui layanan resmi yang tersedia.
pbb_cek_tagihan,Cek PBB pakai apa?,Cek PBB dapat dilakukan melalui sistem resmi Pemerintah Kota Medan.
pbb_denda,Apakah ada denda PBB?,Denda PBB dikenakan apabila terjadi keterlambatan pembayaran sesuai ketentuan.
pbb_denda,Berapa denda telat bayar PBB?,Besaran denda PBB mengikuti ketentuan peraturan yang berlaku.
pbb_denda,Denda PBB dihitung bagaimana?,Perhitungan denda PBB ditetapkan berdasarkan ketentuan yang berlaku.
pbb_denda,Jika telat bayar PBB bagaimana?,Keterlambatan pembayaran PBB dikenakan sanksi denda sesuai ketentuan.
pbb_denda,Apakah PBB kena sanksi?,PBB yang dibayar terlambat dikenakan sanksi sesuai peraturan.
pbb_mutasi,Bagaimana cara mutasi PBB?,Mutasi PBB dapat diajukan sesuai prosedur yang ditetapkan oleh Bapenda Kota Medan.
pbb_mutasi,Cara balik nama PBB?,Balik nama PBB dilakukan melalui pengajuan mutasi sesuai ketentuan.
pbb_mutasi,Apa syarat mutasi PBB?,Syarat mutasi PBB ditetapkan sesuai ketentuan yang berlaku.
pbb_mutasi,Dimana mengurus mutasi PBB?,Pengurusan mutasi PBB dilakukan melalui Bapenda Kota Medan.
pbb_mutasi,Prosedur mutasi PBB?,Prosedur mutasi PBB mengikuti ketentuan resmi Bapenda Kota Medan.
cara_bayar_umum,Bagaimana cara bayar pajak daerah?,Pembayaran pajak daerah dapat dilakukan melalui kanal resmi yang ditetapkan.
cara_bayar_umum,Dimana bayar pajak daerah?,Pembayaran pajak daerah dilakukan melalui tempat dan sistem resmi.
cara_bayar_umum,Cara pembayaran pajak daerah?,Pembayaran pajak daerah mengikuti prosedur yang ditetapkan.
cara_bayar_umum,Bayar pajak daerah lewat apa?,Pembayaran pajak daerah dapat dilakukan melalui layanan resmi.
cara_bayar_umum,Metode pembayaran pajak daerah?,Metode pembayaran pajak daerah ditentukan sesuai ketentuan.
cara_bayar_restoran,Bagaimana cara bayar pajak restoran?,Pembayaran pajak restoran dilakukan sesuai prosedur yang ditetapkan oleh Bapenda Kota Medan.
cara_bayar_restoran,Dimana bayar pajak restoran?,Pajak restoran dibayar melalui kanal resmi yang ditentukan.
cara_bayar_restoran,Cara setor pajak restoran?,Penyetoran pajak restoran mengikuti ketentuan yang berlaku.
cara_bayar_restoran,Bayar pajak restoran lewat apa?,Pembayaran pajak restoran dapat dilakukan melalui layanan resmi.
cara_bayar_restoran,Metode pembayaran pajak restoran?,Metode pembayaran pajak restoran sesuai ketentuan yang berlaku.
cara_bayar_pbb,Bagaimana cara bayar PBB?,Pembayaran PBB dilakukan melalui kanal resmi yang ditetapkan.
cara_bayar_pbb,Dimana bayar PBB?,PBB dapat dibayarkan melalui tempat pembayaran resmi.
cara_bayar_pbb,Cara pembayaran PBB?,Pembayaran PBB mengikuti prosedur yang berlaku.
cara_bayar_pbb,Bayar PBB lewat apa?,Pembayaran PBB dapat dilakukan melalui layanan resmi.
cara_bayar_pbb,Metode bayar PBB?,Metode pembayaran PBB sesuai ketentuan yang berlaku.
bayar_online,Apakah pajak bisa dibayar online?,Beberapa jenis pajak daerah dapat dibayar secara online melalui layanan resmi.
bayar_online,Bayar pajak online bagaimana?,Pembayaran pajak online dilakukan melalui sistem resmi Pemerintah Kota Medan.
bayar_online,Apakah ada pembayaran pajak online?,Layanan pembayaran pajak online tersedia untuk jenis pajak tertentu.
bayar_online,Bayar pajak lewat aplikasi?,Pembayaran pajak dapat dilakukan melalui aplikasi resmi yang ditetapkan.
bayar_online,Cara bayar pajak secara online?,Pembayaran pajak online mengikuti prosedur resmi.
pajak_restoran,Apa itu pajak restoran?,Pajak restoran adalah pajak atas pelayanan yang disediakan oleh restoran.
pajak_restoran,Siapa wajib bayar pajak restoran?,Wajib pajak restoran adalah pengusaha restoran sesuai ketentuan.
pajak_restoran,Objek pajak restoran apa?,Objek pajak restoran adalah pelayanan yang disediakan restoran.
pajak_restoran,Berapa tarif pajak restoran?,Tarif pajak restoran ditetapkan sesuai peraturan daerah.
pajak_restoran,Pajak restoran dikenakan pada apa?,Pajak restoran dikenakan atas pelayanan restoran.
pajak_hotel,Apa itu pajak hotel?,Pajak hotel adalah pajak atas pelayanan penginapan.
pajak_hotel,Siapa wajib bayar pajak hotel?,Wajib pajak hotel adalah pengusaha hotel.
pajak_hotel,Objek pajak hotel apa?,Objek pajak hotel adalah pelayanan penginapan.
pajak_hotel,Berapa tarif pajak hotel?,Tarif pajak hotel ditetapkan sesuai peraturan.
pajak_hotel,Pajak hotel dikenakan pada apa?,Pajak hotel dikenakan atas pelayanan hotel.
pajak_hiburan,Apa itu pajak hiburan?,Pajak hiburan adalah pajak atas penyelenggaraan hiburan.
pajak_hiburan,Siapa wajib bayar pajak hiburan?,Wajib pajak hiburan adalah penyelenggara hiburan.
pajak_hiburan,Objek pajak hiburan apa?,Objek pajak hiburan adalah kegiatan hiburan.
pajak_hiburan,Berapa tarif pajak hiburan?,Tarif pajak hiburan ditetapkan sesuai peraturan.
pajak_hiburan,Pajak hiburan dikenakan pada apa?,Pajak hiburan dikenakan atas penyelenggaraan hiburan.
pajak_parkir,Apa itu pajak parkir?,Pajak parkir adalah pajak atas penyelenggaraan tempat parkir.
pajak_parkir,Siapa wajib bayar pajak parkir?,Wajib pajak parkir adalah pengelola parkir.
pajak_parkir,Objek pajak parkir apa?,Objek pajak parkir adalah penyediaan tempat parkir.
pajak_parkir,Berapa tarif pajak parkir?,Tarif pajak parkir ditetapkan sesuai peraturan.
pajak_parkir,Pajak parkir dikenakan pada apa?,Pajak parkir dikenakan atas penyelenggaraan parkir.
sanksi,Apa sanksi jika tidak bayar pajak?,Sanksi dikenakan sesuai ketentuan peraturan apabila pajak tidak dibayar.
sanksi,Sanksi keterlambatan bayar pajak?,Keterlambatan pembayaran pajak dikenakan sanksi.
sanksi,Apakah ada sanksi pajak daerah?,Sanksi pajak daerah diatur dalam peraturan yang berlaku.
sanksi,Hukuman tidak bayar pajak?,Tidak membayar pajak dapat dikenakan sanksi sesuai ketentuan.
sanksi,Konsekuensi tidak bayar pajak?,Konsekuensi tidak membayar pajak diatur dalam peraturan.
denda,Apa itu denda pajak?,Denda pajak adalah sanksi atas keterlambatan atau pelanggaran pajak.
denda,Berapa denda pajak?,Besaran denda pajak ditentukan sesuai ketentuan.
denda,Cara menghitung denda pajak?,Perhitungan denda pajak mengikuti ketentuan yang berlaku.
denda,Kapan denda pajak dikenakan?,Denda pajak dikenakan jika terjadi keterlambatan atau pelanggaran.
denda,Apakah semua pajak kena denda?,Denda pajak dikenakan sesuai ketentuan masing-masing jenis pajak.
